source_row,source_numero,sede,dependencia,subdependencia,marca,modelo,tipo_impresora,serie,codigo_inventario,codigo_patrimonial,tipo_conexion,ip,hostname_origen,modelo_toner_negro,modelo_toner_c,modelo_toner_m,modelo_toner_y,estado,status,observaciones
72,27,Sede Central,Direccion de Gestion de la Innovacion Agraria,,KYOCERA,TASKALFA 6003I,Fotocopiadora multifuncional,RFQ0803839,202412186,,IP,172.16.23.43,KMAD918B,,,,,Activa,IMPORTAR,
74,40,Sede Central,Direccion de Gestion de la Innovacion Agraria,Subdireccion de Normatividad de la Innovacion Agraria,KYOCERA,TASKALFA 6003I,Fotocopiadora multifuncional,RFQ0803841,202412116,74222358-0216,IP,172.16.23.45,KMAD9188,,,,,Activa,IMPORTAR,
75,107,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,HP,LASERJET PRO MFP 4103FDW,Impresora laser,BRBSQD007P,202414982,74222358-0306,IP,172.16.41.150,,W1510A / W1510X,,,,Activa,IMPORTAR,
76,147,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,KYOCERA,TASKALFA 7003I,Fotocopiadora multifuncional,RU91100636,202409160,74222358-0280,IP,172.16.23.60,KMAF7722,,,,,Activa,IMPORTAR,
77,144,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Productos Agrarios,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900254,202415106,74222358-0365,IP,172.16.23.137,KM09CAEA,,,,,Activa,IMPORTAR,IP corregida: 172.16.23..137 -> 172.16.23.137
78,117,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900257,202408200,74222358-0367,IP,172.16.23.116,KM09CB1D,TK-6347,,,,Activa,IMPORTAR,
79,78,Sede Central,Oficina de Gestion de Recursos Humanos,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900222,202405856,74222358-0357,IP,172.16.23.117,KM09CAES,,,,,Activa,IMPORTAR,
80,87,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900224,202406650,74222358-0358,IP,172.16.23.118,KM09CAE7,TK-6347,,,,Activa,IMPORTAR,
81,29,Sede Central,Direccion de Gestion de la Innovacion Agraria,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900256,202412039,74222358-0366,IP,172.16.23.119,KM09CAF2,,,,,Activa,IMPORTAR,
82,179,Sede Central,Oficina de Control Institucional,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900253,202411250,74222358-0364,IP,172.16.23.120,KM09CB02,,,,,Activa,IMPORTAR,
83,177,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,,EPSON,L5190,Impresora de inyeccion a color,X5NS036777,202416745,74083650-0058,IP,172.16.62.18,,,,,,Activa,IMPORTAR,
84,94,Sede Central,Oficina de Administracion,Unidad de Contabilidad,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900309,202406291,74222358-0378,IP,172.16.23.121,KM01B5D7,,,,,Activa,IMPORTAR,
85,158,Sede Central,Direccion de Investigacion y Desarrollo Tecnologico,Subdireccion de Investigacion y Liberacion de Tecnologias,HP,COLOR LASERJET PRO M452DW,Impresora laser,,202408414,74084100-0244,IP,192.16.0.110,NPI9F8D5C,,,,,Activa,IMPORTAR,
86,93,Sede Central,Oficina de Administracion,Unidad de Contabilidad,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900303,202406411,74222358-0377,IP,172.16.23.122,KM01B5D6,,,,,Activa,IMPORTAR,
87,99,Sede Central,Oficina de Administracion,Unidad de Tesoreria,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900236,202406519,74222358-0360,IP,172.16.23.123,KM09CB0F,,,,,Activa,IMPORTAR,
88,6,Sede Central,Gerencia General,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900273,202406733,,IP,172.16.23.125,KM01B5E2,,,,,Activa,IMPORTAR,
89,105,Sede Central,Oficina de Administracion,Unidad de Abastecimiento,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900271,,,IP,172.16.23.126,,TK-6347,,,,Activa,IMPORTAR,
90,12,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,FUJITSU,FI-6800,Escaner,A9ECC01742,202419647,,USB,,,,,,,Activa,IMPORTAR,
91,4,Sede Central,Presidencia Ejecutiva,,KYOCERA,TASKALFA 7004I,Fotocopiadora multifuncional,H6H3900166,202415294,,IP,172.16.23.127,KM09CACB,,,,,Activa,IMPORTAR,
92,17,Sede Central,Gerencia General,Unidad de Atencion al Ciudadano y Gestion Documental,TSC,TE200,Impresora etiquetadora,TEA22074619,202419736,74084043-0010,USB,,,,,,,Activa,IMPORTAR,
